"((-2)/(-4)*(4 - 0))/1
"	"2
"	mixed
"(2/(-4))/(3/(-81)*-45)
"	"-3/10
"	mixed
"4 - 7/(567/342)
"	"-2/9
"	mixed
"(-3 + 2)*-4*8/(-32)
"	"-1
"	mixed
"(5/(-25))/(4/5)
"	"-1/4
"	mixed
"(-4 + 218/56)/(44/154)
"	"-3/8
"	mixed
"(9/(-4))/((-19)/(152/(-3)))
"	"-6
"	mixed
"12 + 6/(-6) + -17
"	"-6
"	mixed
"1/3 - ((-136)/24 + -2)
"	"8
"	mixed
"(-1)/(8 + 0 - 175/21)
"	"3
"	mixed
"5 - -2 - -3*153/(-68)
"	"1/4
"	mixed
"((-136)/(-51))/((-40)/12)
"	"-4/5
"	mixed
"(20/8)/(3/(-2) + 2)
"	"5
"	mixed
"(-3)/30 + 84/(-60)
"	"-3/2
"	mixed
"-6 - -1 - (4/(-2))/(-2)
"	"-6
"	mixed
"(16/84*1)/((-8)/12)
"	"-2/7
"	mixed
"((-5)/1)/(32/32)
"	"-5
"	mixed
"5/(25/(-45)) + 5
"	"-4
"	mixed
"(12/33)/((-20)/(-330))
"	"6
"	mixed
"5 - (22/4 - -4)
"	"-9/2
"	mixed
"8/36 + (3 - 3)
"	"2/9
"	mixed
"((-1672)/(-1045))/((-1)/1 - 1)
"	"-4/5
"	mixed
"6/21*-1 + (-120)/(-665)
"	"-2/19
"	mixed
"(1/3 + -1)/((-28)/(-42))
"	"-1
"	mixed
"(-52)/156 + (-2)/12
"	"-1/2
"	mixed
"(2/(-6))/(2/4)
"	"-2/3
"	mixed
"((-1)/6)/((-5)/((-20)/(-2)))
"	"1/3
"	mixed
"((-10)/6)/((-261)/108 - -2)
"	"4
"	mixed
"(-15)/110*((-64)/12 - -4)
"	"2/11
"	mixed
"(4*(-14)/154)/((-4)/(-6))
"	"-6/11
"	mixed
"((-25)/(-10) - 2)*(8 - 2)
"	"3
"	mixed
"2/(8/(-18)) - (-5)/10
"	"-4
"	mixed
