"-0.2*847
"	"-169.4
"	mul
"-7.5*-0.5
"	"3.75
"	mul
"-0.5*-3326
"	"1663
"	mul
"-24*248
"	"-5952
"	mul
"-4*0.13
"	"-0.52
"	mul
"1678*0.3
"	"503.4
"	mul
"2.4*5
"	"12
"	mul
"-4.2*268
"	"-1125.6
"	mul
"4*4
"	"16
"	mul
"-12143*-0.5
"	"6071.5
"	mul
"-5*114
"	"-570
"	mul
"-21*-0.16
"	"3.36
"	mul
"-3*34
"	"-102
"	mul
"-5*-0.1
"	"0.5
"	mul
"-0.9*-1.639
"	"1.4751
"	mul
"-0.1*40.2
"	"-4.02
"	mul
"-4*133
"	"-532
"	mul
"0.1026*-0.05
"	"-0.00513
"	mul
"275.85*-5
"	"-1379.25
"	mul
"-86*-0.1
"	"8.6
"	mul
"0.1*-33
"	"-3.3
"	mul
"-2.0757*-0.2
"	"0.41514
"	mul
"3*-4.3
"	"-12.9
"	mul
"-31*19
"	"-589
"	mul
"-5.2*0.01
"	"-0.052
"	mul
"-9*-25
"	"225
"	mul
"-2.6*-49
"	"127.4
"	mul
"10*53
"	"530
"	mul
"-0.03*0.07
"	"-0.0021
"	mul
"-2*154
"	"-308
"	mul
"2.126*0.1
"	"0.2126
"	mul
"16*11
"	"176
"	mul
"0.5*50
"	"25
"	mul
"-290*9
"	"-2610
"	mul
"-2.5*-5
"	"12.5
"	mul
"-0.5*-0.073
"	"0.0365
"	mul
"-0.4*0.072
"	"-0.0288
"	mul
"-10*2
"	"-20
"	mul
"8.6*0.3
"	"2.58
"	mul
"-13*-2.751
"	"35.763
"	mul
"-63.7*-4
"	"254.8
"	mul
"120*-6
"	"-720
"	mul
"426*4
"	"1704
"	mul
"1129*-0.4
"	"-451.6
"	mul
"31*0.087
"	"2.697
"	mul
"0.3*2618
"	"785.4
"	mul
"-0.04*3.8
"	"-0.152
"	mul
"-0.1126*-1
"	"0.1126
"	mul
"-22*-2
"	"44
"	mul
"-2*-79.6
"	"159.2
"	mul
"-0.3*-9
"	"2.7
"	mul
"-0.5*-455
"	"227.5
"	mul
"-1.16*22
"	"-25.52
"	mul
"1*2.81
"	"2.81
"	mul
"-3*0.046
"	"-0.138
"	mul
"-4*413
"	"-1652
"	mul
"-0.2*-658
"	"131.6
"	mul
"1.77*4
"	"7.08
"	mul
"39.19*-5
"	"-195.95
"	mul
"75*-0.03
"	"-2.25
"	mul
"149*-20
"	"-2980
"	mul
"-68.9*-19
"	"1309.1
"	mul
"-4*-0.52
"	"2.08
"	mul
"0.9*610
"	"549
"	mul
"27300*-0.4
"	"-10920
"	mul
"59*-34
"	"-2006
"	mul
"1003*1
"	"1003
"	mul
"826.1*-0.2
"	"-165.22
"	mul
"-6*-456
"	"2736
"	mul
"-5*-1.77
"	"8.85
"	mul
"0.1*1170
"	"117
"	mul
"-30*2
"	"-60
"	mul
"-986*0
"	"0
"	mul
"-7*22
"	"-154
"	mul
"4*2826
"	"11304
"	mul
"36*0.1
"	"3.6
"	mul
"-621*0.5
"	"-310.5
"	mul
"-7.8*-0.2
"	"1.56
"	mul
"-66*-0.034
"	"2.244
"	mul
"0*-1.561
"	"0
"	mul
"-14*0.14
"	"-1.96
"	mul
"-1*32
"	"-32
"	mul
"44*4
"	"176
"	mul
"-0.137*33
"	"-4.521
"	mul
