5415414/-5415414	-1	div
9507051/3169017	3	div
3/-3386877	-1/1128959	div
-842/-516978	421/258489	div
20/969581	20/969581	div
-5244/28	-1311/7	div
3/4727789	3/4727789	div
2450312/612578	4	div
-3/1737008	-3/1737008	div
-152538453/1081833	-141	div
-8668056/164	-52854	div
-1796158392/1592339	-1128	div
4139499/-771	-5369	div
-4/22251718	-2/11125859	div
535/6241	535/6241	div
1969656/26	75756	div
115468332/-4044	-28553	div
-5385588/5451	-988	div
31050789/-2822799	-11	div
-2/-4830371	2/4830371	div
615480/1081	26760/47	div
-2/-754679	2/754679	div
14/157149	14/157149	div
-134496810/-1494409	90	div
-184/695388	-46/173847	div
1899480/158290	12	div
-3012/91166	-1506/45583	div
-7199024/199	-36176	div
1233328/-17	-1233328/17	div
66706276/-33353138	-2	div
1460100/-60	-24335	div
375/-491	-375/491	div
106925136/26731284	4	div
-41/-1681765	41/1681765	div
6539344/-467096	-14	div
127319/-242	-127319/242	div
2821756/2	1410878	div
-5044861/-1501	3361	div
-68255168/-32752	2084	div
3359888/119996	28	div
352389/26	352389/26	div
-1478714349/4142057	-357	div
3/-2926868	-3/2926868	div
19016555/-3803311	-5	div
411597/-99	-45733/11	div
-42974125/42974125	-1	div
-16938900/3	-5646300	div
-1036/281	-1036/281	div
-370544459/3	-370544459/3	div
0/-20619429	0	div
1728/-2187	-64/81	div
-1/53598551	-1/53598551	div
195598396/-6985657	-28	div
9770342/1139	8578	div
113670848/-6	-56835424/3	div
0/-32520931	0	div
-423872/31	-423872/31	div
-19784495/-3	19784495/3	div
-65746/65746	-1	div
-28731738/624603	-46	div
-57974832/-32048	1809	div
1/-214901033	-1/214901033	div
-164/-2587703	164/2587703	div
101040/15	6736	div
-2834910417/6	-944970139/2	div
-54623142/-7497	7286	div
13565/-8275	-2713/1655	div
-27/-13461495	9/4487165	div
-339560480/-126560	2683	div
557152772/-22	-25325126	div
-516956209/-11	46996019	div
244525842/27546	8877	div
-154/-97538	11/6967	div
96209712/2	48104856	div
-13522/4892	-6761/2446	div
-93/-1487	93/1487	div
4424928/-2212464	-2	div
257158968/-5844522	-44	div
-53868204/-9	5985356	div
6/86801	6/86801	div
732332070/-2	-366166035	div
-106150727/-31	3424217	div
-15616479/-15616479	1	div
-13502151/4	-13502151/4	div
-842731250/-168546250	5	div
-12984/453	-4328/151	div
2/-363402569	-2/363402569	div
-18259703/-209	87367	div
-1/5216502	-1/5216502	div
283793022/31532558	9	div
-6789/-136067	6789/136067	div
597/-3687	-199/1229	div
86321721/28773907	3	div
4/4464793	4/4464793	div
84/5768787	28/1922929	div
-237427/-6	237427/6	div
76303470/-8095	-9426	div
329273745/69865	4713	div
-536843868/-2265164	237	div
3339237/-27597	-121	div
-2544/35217	-848/11739	div
25289676/-2	-12644838	div
-9156014/-2	4578007	div
19775975/-2	-19775975/2	div
1/-111134604	-1/111134604	div
-18817/-1651	18817/1651	div
-509429344/-32	15919667	div
11097/-964	-11097/964	div
-901674048/39108	-23056	div
0/19213662	0	div
67184019/159	422541	div
184467/184467	1	div
414479/-7	-414479/7	div
-3601/14097	-3601/14097	div
-3/103024748	-3/103024748	div
-144182395/7	-20597485	div
-7117445/47	-151435	div
-289290/30	-9643	div
875106/-6	-145851	div
-11666945/-2333389	5	div
-15734679/3	-5244893	div
9823917/-99	-3274639/33	div
7/-2506386	-7/2506386	div
25201948/4	6300487	div
-11653257/-1	11653257	div
-61612488/-189	325992	div
674725/9	674725/9	div
-19776890/245	-80722	div
-4/17646265	-4/17646265	div
-23/32292	-1/1404	div
-65015577/-53	1226709	div
-256742/295	-256742/295	div
-72465426/4025857	-18	div
49161/48	16387/16	div
-14992560/-15	999504	div
-164597674/-164597674	1	div
2338/61496	1169/30748	div
-80/-1437921	80/1437921	div
-1348115930/3382	-398615	div
-5/-15579058	5/15579058	div
23442189/2	23442189/2	div
-914888/-83	914888/83	div
415929108/-6	-69321518	div
-479914/-1	479914	div
-271768474/2	-135884237	div
40357848/1244	32442	div
-1/23267696	-1/23267696	div
610761788/-1677917	-364	div
116666/-141	-116666/141	div
-5/-155385	1/31077	div
-160441860/-80220930	2	div
16/36624243	16/36624243	div
-23748595/-1385	17147	div
660657096/-2178	-303332	div
-3439094/1	-3439094	div
652381590/-42	-15532895	div
645723773/29	22266337	div
5626057/-8	-5626057/8	div
15523650/-287475	-54	div
-358132018/5	-358132018/5	div
546714090/-7598	-71955	div
-24/3324009	-8/1108003	div
-9951666/-3317222	3	div
-575007/-20	575007/20	div
4816/8	602	div
26021160/15	1734744	div
-210397462/-17926	11737	div
31763550/26	1221675	div
13971/-160	-13971/160	div
161738560/-74192	-2180	div
-439034/7	-439034/7	div
-1585892/1	-1585892	div
92598485/-18519697	-5	div
-192709140/5	-38541828	div
