"(190/76)/(935/(-102))
"	"-3/11
"	mixed
"(-10 - -2)/(-24)*(-48)/32*(-2)/(-49)
"	"-1/49
"	mixed
"16/(1088/374)*3/(-9)
"	"-11/6
"	mixed
"(-2*(-18)/(-462))/((-30966)/5558)
"	"2/143
"	mixed
"(-2)/23 + 0 + 164628/4692
"	"35
"	mixed
"80/9*((-71640)/240)/(-199)*9/(-102)
"	"-20/17
"	mixed
"3/52*(-8)/1 - (-159)/((-241839)/101205)
"	"-67
"	mixed
"2312/6069 + (-517)/(-21)
"	"25
"	mixed
"(63 + 3)/((-2163)/(-11536)*(-1 + (-9)/(-1)))
"	"44
"	mixed
"((-42)/(-154))/(5600/196 + -29)
"	"-7/11
"	mixed
"(20/(-12) + 0)/((-15015)/(-546))
"	"-2/33
"	mixed
"((0/4 - -9) + 189/18 + -19)*82
"	"41
"	mixed
"(-272)/24*(-19)/12 - 119/(-2142)
"	"18
"	mixed
"-116 - -1 - -1 - (-945 - -918)
"	"-87
"	mixed
"2 + -2 - (17/1377*-18 + (-93)/108)
"	"13/12
"	mixed
"(0 + 1 + -46)*(-153)/510*-2
"	"-27
"	mixed
"(-13 - -9)*(-6)/4 - 25286/2152
"	"-23/4
"	mixed
"672/480 - 1478/(-80) - (-14)/112
"	"20
"	mixed
"(-6)/(-46) - (-26)/((-1072812)/10143)
"	"-3/26
"	mixed
"(-13)/(-1)*(-2853)/(-48818)*154
"	"117
"	mixed
"1089/(-3267) - 14/6*(-4 - 15)
"	"44
"	mixed
"(-7633)/544 - -14 - (-24 - (-617370)/25792)
"	"1/31
"	mixed
"1242 + -1234 - 100/5
"	"-12
"	mixed
"19 - (-47940)/(-2516) - 1168/296
"	"-4
"	mixed
"(127/(2667/126))/(42/(-117) - 8/(-12))
"	"39/2
"	mixed
"(((-6 - 3) + 11)/(-1))/2
"	"-1
"	mixed
"-1*(14 + -16)*((-650)/(-169))/10
"	"10/13
"	mixed
"(((-4)/(-2))/(2 + 19))/(2329/959)
"	"2/51
"	mixed
"-88*(4 + 329/(-77))
"	"24
"	mixed
"(134/(-70) - (-2 + 0)) + 665/(-4655)
"	"-2/35
"	mixed
"((-143)/(-9) - ((-15640)/(-306))/(-46)) + 22
"	"39
"	mixed
"-7 - (2128/(-114) - (-2 + -9))
"	"2/3
"	mixed
"15 - (864/132 + 1 + 80/10)
"	"-6/11
"	mixed
"(461/(-4610))/(7/(-2) - -4)
"	"-1/5
"	mixed
"2*(47 - 36)/88
"	"1/4
"	mixed
"1/(209/(-4389) - (-4)/168)
"	"-42
"	mixed
"((-359480)/26752)/(15/(-12))
"	"43/4
"	mixed
"(-1 + -2)*(-3)/3 - (161 + -148)
"	"-10
"	mixed
"(-46)/(-11)*(73 - 31433/430) + 2/(-11)
"	"-3/5
"	mixed
"(-78)/3*((-30)/2 - -5 - 714/(-68))
"	"-13
"	mixed
