(-3)/((-39)/(-197)) - 42/1092*-4	-15	mixed
((-15)/(-20)*-1)/(-23 + (-11060)/(-480))	-18	mixed
9 - (-12)/30*-45 - (0 + 4)	-13	mixed
(2 - 1)*-3 + (-38)/1368*-124	4/9	mixed
((-3)/(-75))/(122/244)	2/25	mixed
((-82)/7 - -12) + 5 + (-50)/28	7/2	mixed
(-9)/(-5) - (-27 - 588/(-35))	12	mixed
(-2)/(-4)*(-216)/(-60) + 0	9/5	mixed
(16 - (-1066)/(-52))/(2*2/(-8))	9	mixed
(-24308)/1648 - (-3)/(-12)	-15	mixed
(-36)/(-99)*110/(-60) + 19/42	-3/14	mixed
(-2)/9*(-5 + 8)*-3	2	mixed
(-3 - 1)*(-1)/((-88)/11)	-1/2	mixed
(-17 - -24) + 13 + -11 + 1	10	mixed
20/(-1) - 34263/(-1701)	1/7	mixed
(2/5)/(28/(-35) - (-22)/30)	-6	mixed
3 + (-18)/(-45)*(0 + 45) + 3	24	mixed
84/15*130/(-52) + 32	18	mixed
(-10*6/(-540))/((-2)/(-15))	5/6	mixed
8/66*(-3)/(-18)*15/5	2/33	mixed
((-2)/18)/(9324/(-324) - -29)	-1/2	mixed
(-2)/(-2) - 36/126	5/7	mixed
60/45 - ((-23)/3 - 2)	11	mixed
25/4*2/(-36) + (-6)/(-27)	-1/8	mixed
(-2)/7 - 320/(-385) - (-1272)/(-2211)	-2/67	mixed
21*(-16)/(-112) + (-27 - -1)	-23	mixed
((-2)/34)/(-17 + 18 - 2)	1/17	mixed
-2*(173/2595 - (-377)/(-30))	25	mixed
12/8*((-1281)/99 + 13)	1/11	mixed
20/(-8) - (-429)/66 - (-3 + -9)	16	mixed
((-138)/(-15) - 4)*10*(-4)/(-16)	13	mixed
98/10 + (-20 - (28 - 40))	9/5	mixed
(-392)/36 + 176/198	-10	mixed
(0 + -2)*(584/32 - 15)	-13/2	mixed
16 - 8 - (-10 - 696/(-36))	-4/3	mixed
(-6)/11*(-42)/(-756)	-1/33	mixed
((-5)/135)/(-6*7/63)	1/18	mixed
1084/72 - (161 - 146)	1/18	mixed
(11 + 1)/(-15 - (41 - 55))	-12	mixed
(7308/432)/7 + (-2)/3	7/4	mixed
(125/(-70) - -2)/(12/14)	1/4	mixed
(-441)/(-105)*40/12	14	mixed
(-3 + (-62)/(-20))/(290/(-75) - -4)	3/4	mixed
((4416/72)/46)/((-4)/(-6))	2	mixed
13584/(-504) + 13 + 14	1/21	mixed
(605/66)/(-55)*84	-14	mixed
(-3)/(-4) - (-108)/(-288)*2	0	mixed
(5 + (-161)/14 + 2)/((-15)/20)	6	mixed
(2964/32)/(-13) + 7	-1/8	mixed
(-4 + 142/36)*(-54)/4	3/4	mixed
(-3 + 45/12)/(6 - (0 + 9))	-1/4	mixed
(-33)/(-22)*26*(-3)/9	-13	mixed
(-22 + 609/28)*60	-15	mixed
-4*2/8*(-5 + -1 + 5)	1	mixed
(-1 + (4 - 2))*(-84)/(9 - 21)	7	mixed
18/(-540)*-392 + -13*1	1/15	mixed
20/(-102)*1512/1260*1/(-4)	1/17	mixed
(-306)/(-30) - 22/110	10	mixed
249/(-581) - -2*(-2)/(-42)	-1/3	mixed
-22*3/(-72) - (11/(-6))/(-11)	3/4	mixed
(1/4 - 51/204 - 4)/4	-1	mixed
6/(-3) + (4*2 - (-6 - -11))	1	mixed
((-54)/48)/((-27)/252*-7)	-3/2	mixed
(-1)/((-4)/(-3 - 5) + 210/(-385))	22	mixed
(-2)/12*(-16)/28*49/7	2/3	mixed
17 - 44/(-11)*1 - 11	10	mixed
(66/8)/(158/632)	33	mixed
4/(-6) + 29022/792 + -36	-1/44	mixed
((-292)/(-140) + (-12)/42)/(21/35)	3	mixed
(15 - (-978)/(-66))*-33	-6	mixed
480/(-135)*(-6)/(-8) + 16/(-12)	-4	mixed
320/1120 + (-610)/(-70)	9	mixed
-8 + ((-64)/(-24) - -5) + (-8)/24	-2/3	mixed
(-7440)/340 + 13 - (-5)/(255/(-6))	-9	mixed
(-1)/((-2)/14) + 2121/(-101)	-14	mixed
(-10)/6 - (9 - (-3585)/(-315))	5/7	mixed
1*((-224)/72 + 9*6/27)	-10/9	mixed
(17/(-2))/(4/8)	-17	mixed
(66192/(-1470) - -45)*7/1	-1/5	mixed
(7/((-21)/(-12)))/(-9*(-100)/1125)	5	mixed
(-23)/414*9 + (-14)/(-4)	3	mixed
(-8 + 104/16)*(112/(-63))/(-16)	-1/6	mixed
(-94)/(-308) + -2*(3 + 715/(-242))	3/14	mixed
(-8)/(-10)*-4*150/420	-8/7	mixed
(-5)/(-10) - -1 - 344*(-2)/(-32)	-20	mixed
(297/(-308))/((-3)/24) + -8	-2/7	mixed
1320/2200 + 14/(-15)	-1/3	mixed
(-15)/(-7)*(-28)/(-12)	5	mixed
-10*(7 - 8)*2/8	5/2	mixed
(-32)/20 + 284/140 - 0	3/7	mixed
2/(-8)*((-111284)/1204 + 6/14)	23	mixed
57/76*(-12)/(-9)	1	mixed
(16 + 2043/(-126))*(14/(-6) - -3)	-1/7	mixed
((-36)/(-15) - 2) + 20/(-75)*84	-22	mixed
99/(-660)*(5 - (-76)/(-12))	1/5	mixed
(2/(-18))/((-136)/(-12444)) - -10	-1/6	mixed
((-6)/(-4))/((-35)/10) - 41989/(-94724)	1/68	mixed
(-12341)/(-574) + 5 + -23	7/2	mixed
(-378)/45 + 9/(-20)*288/216	-9	mixed
5418/(-1032) - 10/(-8)	-4	mixed
183/(-84) + (1568/560)/((-16)/(-10))	-3/7	mixed
3 - (-6 - (-152)/24)/(1/33)	-8	mixed
(363/(-77))/(27/(-63))	11	mixed
